,Id,SalePrice
0,1461,133431.65379455886
1,1462,182478.90674153974
2,1463,203182.17207350512
3,1464,209991.6676393523
4,1465,197845.2253432492
5,1466,180403.77983464612
6,1467,183628.6732123197
7,1468,164178.56734499906
8,1469,204169.21302734403
9,1470,121665.022286243
10,1471,177100.66309389196
11,1472,92652.00489440288
12,1473,92406.47761408497
13,1474,147369.58857589532
14,1475,100426.79274595404
15,1476,366602.0558814451
16,1477,253301.5171351909
17,1478,309274.64484809426
18,1479,297249.6124843714
19,1480,433094.48221622023
20,1481,302581.18763708725
21,1482,210049.84012140002
22,1483,182445.110733796
23,1484,163885.60106251377
24,1485,185784.02410036224
25,1486,196183.41802356503
26,1487,331593.5388508044
27,1488,222377.98233763129
28,1489,196612.55466116674
29,1490,250485.35812359292
30,1491,198218.8157862791
31,1492,92246.50463560152
32,1493,194366.97332719108
33,1494,279945.85312297114
34,1495,285899.57824481535
35,1496,234554.16298469715
36,1497,180167.46045000374
37,1498,165406.07274989944
38,1499,163681.651883497
39,1500,158019.04245334998
40,1501,172618.83319523715
41,1502,134967.79327852468
42,1503,295067.74170581787
43,1504,253404.8667598439
44,1505,230314.9508212261
45,1506,202173.2650636482
46,1507,266078.15382565814
47,1508,217465.79564613715
48,1509,166741.2402764303
49,1510,154496.27530378572
50,1511,147816.04598151223
51,1512,178344.72731016733
52,1513,158182.94181623252
53,1514,163811.22830485972
54,1515,200567.13358569334
55,1516,168089.36380702944
56,1517,186672.3626349246
57,1518,136876.46488806076
58,1519,216411.0857159418
59,1520,132263.48577930877
60,1521,143455.81325906113
61,1522,188016.77562396287
62,1523,121983.35437447496
63,1524,132988.98013194973
64,1525,122257.84932197483
65,1526,93696.55310580634
66,1527,106434.64919520922
67,1528,139554.49486720032
68,1529,167399.87536207231
69,1530,205125.23209227825
70,1531,118877.40712628598
71,1532,84692.6730246001
72,1533,158050.73082785142
73,1534,92335.85261881394
74,1535,155578.01584729605
75,1536,95635.21385874721
76,1537,104350.12077738476
77,1538,162972.29805078157
78,1539,229629.53812182037
79,1540,103896.42844167177
80,1541,150640.43695349706
81,1542,152445.4501306802
82,1543,196988.18877171254
83,1544,70682.49792440512
84,1545,115908.5692156744
85,1546,123840.0154505947
86,1547,141147.08577083808
87,1548,142469.59969974592
88,1549,110601.87700691838
89,1550,142152.14862288028
90,1551,104299.1755795543
91,1552,164898.1973492865
92,1553,160287.28562174816
93,1554,110922.74906089442
94,1555,165013.40115974372
95,1556,25959.018645587843
96,1557,71039.26470177245
97,1558,90570.50830221498
98,1559,63004.34479421764
99,1560,93899.06581247009
100,1561,141966.1021723685
101,1562,124192.8307426032
102,1563,129731.70610011808
103,1564,155049.13984696296
104,1565,156405.74825062242
105,1566,234787.42592479574
106,1567,95661.18079900087
107,1568,235981.01584584836
108,1569,163905.85735450004
109,1570,125433.39264698546
110,1571,87360.36141443768
111,1572,151199.9974192443
112,1573,255476.76124531697
113,1574,133094.02560421007
114,1575,242270.37734833625
115,1576,260328.61406919724
116,1577,186091.36938527133
117,1578,153114.3637951397
118,1579,141932.06826451267
119,1580,194374.99266859202
120,1581,167078.77051036165
121,1582,129638.55659595755
122,1583,283997.42601583444
123,1584,224480.13404879323
124,1585,127626.58002276695
125,1586,49257.56053220315
126,1587,97532.35875646639
127,1588,172638.67399337038
128,1589,92041.86386521012
129,1590,117632.01195822518
130,1591,97152.52246127187
131,1592,95663.85505552118
132,1593,115602.50384446164
133,1594,176859.92278359644
134,1595,130283.07446999325
135,1596,228872.55138436187
136,1597,223002.91807873425
137,1598,233064.00281368752
